"","Live","PTT","蘋果","中時","中央社","東森","自由","新頭殼","NowNews","聯合","TVBS","中廣","台視","華視","民視"
"狙擊手",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"盲腸",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"花朵",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"長髮",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"門戶",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"門市",0,5,6,0,0,0,0,0,0,0,0,0,0,0,0
"附圖",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"保守主義",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"保護主義",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"保護傘",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"前景",0,5,0,4,0,0,0,0,0,0,0,0,0,0,0
"威信",0,5,3,0,0,5,0,0,0,0,0,0,0,0,0
"屍體",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"政見",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"柿子",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"毒品",0,5,0,0,0,0,3,0,0,0,0,0,0,0,0
"毒氣",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"流水",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"流言",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"皇上",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"省長",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"紀律",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"苦痛",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"要人",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"重擔",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"面具",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"風波",0,5,0,0,0,4,0,0,0,0,0,0,0,0,0
"食品",0,5,0,0,0,0,3,0,0,0,0,0,0,4,0
"個體",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"原理",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"唐老鴨",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"套房",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"恩人",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"旁觀者",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"書店",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"校務",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"格調",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"框框",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"氣度",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"海鳥",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"消耗戰",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"病房",0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
"真人",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"真諦",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"神經病",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"神龍",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"級別",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"能見度",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"航空",0,5,0,3,0,0,0,0,0,3,0,3,0,0,0
"草地",0,5,0,0,0,0,0,0,0,0,0,0,0,0,3
"財力",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"財富",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"財團法人",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"逆風",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"陣地",0,5,4,0,0,0,0,0,0,0,0,0,0,0,0
"陣腳",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"飢餓",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"馬燈",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"骨子裡",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"骨頭",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"高招",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"假髮",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"偵探",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"偽善",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"偽裝",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"售價",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"國歌",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"國語",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"國際法",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"國難",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"國寶",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"執行者",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"強國",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"情義",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"產值",0,5,9,5,0,0,8,0,0,5,0,0,0,0,0
"眼界",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"章魚",0,5,0,0,0,0,0,0,0,0,4,0,0,0,0
"許可證",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"貨車",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"部屬",0,5,0,0,0,0,0,0,0,0,0,0,0,0,3
"野心",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"創傷",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"單字",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"富人",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"富豪",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"幅度",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"替死鬼",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"期限",0,5,0,3,0,0,0,0,0,0,0,0,0,0,0
"棍術",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"殖民地",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"渠道",0,5,0,0,0,3,0,0,0,0,0,0,0,0,0
"策士",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"結構性",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"菜刀",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"隊形",0,5,3,0,0,0,0,0,0,0,0,0,0,0,0
"黑人",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"嫌疑人",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"意氣",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"愛情",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"搞頭",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"新生代",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"會計",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"業績",0,5,0,5,0,9,0,0,0,3,0,0,0,4,0
"溫和派",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"罪證",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"聖旨",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"聖經",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"腦筋",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"萬惡",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"落差",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"資歷",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"運氣",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"道士",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"道具",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"違禁品",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"電力",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"電台",0,5,0,0,6,0,0,0,0,5,0,0,0,0,0
"預言",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"圖案",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"弊端",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"態勢",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"榜首",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"漁翁",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"煽動性",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"種類",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"管制區",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"精力",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"閣下",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"颱風",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"鼻孔",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"廢人",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"廢紙",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"廣告主",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"敵方",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"數值",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"模型",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"潮流",0,5,0,4,0,0,0,0,0,0,0,0,0,0,0
"瞎子",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"蝙蝠",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"談判桌",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"儒家",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"器械",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"學士",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"樹林",0,5,0,0,0,4,0,0,0,0,0,0,0,0,0
"頻道",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"鴕鳥",0,5,0,0,0,0,3,0,0,0,0,0,0,0,0
"幫派",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"戲碼",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"營業額",0,5,0,10,0,3,0,0,0,0,0,0,0,0,0
"牆壁",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"糞坑",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"聲勢",0,5,0,0,0,3,0,0,0,5,0,0,0,0,0
"膽識",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"講稿",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"點心",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"謬誤",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"轉機",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"醫療費",0,5,0,0,0,0,4,0,0,0,0,0,0,0,0
"雙腳",0,5,4,0,0,0,0,0,0,0,0,0,0,0,0
"額度",0,5,0,0,0,0,0,0,0,3,0,0,0,0,0
"關系",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"寶寶",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"競爭者",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"爛攤子",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"蘭特",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"權勢",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"襯衫",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"一審",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"一鍋粥",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"九天",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"人材",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"三軍",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"上文",0,4,3,0,0,4,7,3,0,0,0,0,0,0,0
"口才",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"口吻",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"口誤",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"土豪",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"大政",0,4,0,0,0,0,4,0,0,4,0,0,0,0,0
"大革命",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"大寫",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"小女",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"小冊子",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"小我",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"小鬼",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"山區",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"工友",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"中堂",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"內閣制",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"內臟",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"公民權",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"化工",0,4,0,0,0,0,0,0,0,0,0,0,0,4,0
"化學",0,4,0,0,0,0,0,0,0,0,0,0,0,4,0
"友軍",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"天花板",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"天際",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"幻覺",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"心目",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"心血",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"心機",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"心臟",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"文化界",0,4,0,0,0,3,0,3,0,0,0,0,0,0,0
"文明人",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"文物",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"文書",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"歹徒",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"毛頭",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"火狐",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"王子",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"世界貿易組織",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"仙人掌",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"以上者",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"功力",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"功利主義",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"卡車",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"台詞",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"司令部",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"外星人",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"外商",0,4,5,0,0,0,0,0,0,0,0,0,0,0,0
"外貿",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"外匯",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"巨人",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"未成年",0,4,3,0,0,0,0,0,0,0,4,0,0,0,0
"末日",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"本性",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"母女",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"民情",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"生平",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"生意人",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"白布",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"皮肉",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"丞相",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"企鵝",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"先驅",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"光景",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"全套",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"全校",0,4,0,0,0,0,3,0,0,6,0,0,0,0,0
"全景",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"全貌",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"共產主義者",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"合力",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"合理性",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"回合",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"回扣",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"回程",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"好感",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"如意",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"字面",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"字頭",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"字體",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"成人",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"成分",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"早班",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"有志之士",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"死命",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"死鬼",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"自主性",0,4,4,0,0,0,4,0,0,0,0,0,0,0,0
"自主權",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"血淚",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"血統",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"行情",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"西門",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"佛祖",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"作息",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"兵器",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"冷門",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"告白",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"夾縫",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"志氣",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"快報",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"快感",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"決策者",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"沙盤",0,4,5,0,0,0,0,0,0,0,0,0,0,0,0
"男兒",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"身高",0,4,0,0,0,0,0,0,0,0,4,0,0,0,0
"身影",0,4,3,0,0,0,0,0,0,0,3,0,0,0,0
"邪教",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"事端",0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
"事變",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"典禮",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"奇葩",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"奇觀",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"妹子",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"姊妹",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"始末",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"官司",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"官商",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"定案",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"怪人",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"放射線",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"明令",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"明眼人",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"油壓",0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"法學院",0,4,0,3,0,9,0,4,0,0,0,0,0,0,0
"空洞",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"股份",0,4,0,0,0,0,0,0,0,0,0,0,0,3,0
"表哥",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"門板",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"阿弟",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"阿妹",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"阿飛",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"保護費",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"城堡",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"急診",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"怨氣",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"指甲",0,4,0,0,0,0,0,0,0,4,0,0,0,0,0
"政治性",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"政界",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"故障",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"春秋",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"枯枝",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"柏油",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"柵欄",0,4,0,0,0,0,0,3,0,0,0,0,0,0,0
"段落",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"洋娃娃",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"活人",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"派對",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"界線",0,4,0,0,0,3,0,0,0,0,0,0,0,0,0
"相片",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"秋意",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"科學院",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"紀念日",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"紅包",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"紅綠燈",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"紅線",0,4,3,5,0,4,4,0,0,0,0,0,0,0,0
"美金",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"胃口",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"胃潰瘍",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"胖子",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"苦肉計",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"茄子",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"要犯",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"軍法",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"軍師",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"軍校",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"軍團",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"面相",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"面罩",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"風潮",0,4,0,4,0,0,0,0,0,0,0,0,0,0,0
"風霜",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"首領",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"修正案",0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
"原點",0,4,0,0,9,0,0,0,0,6,0,0,0,0,0
"家父",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"家門口",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"家畜",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"旅客",0,4,0,5,0,0,0,0,0,0,0,0,0,0,0
"時間表",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"格局",0,4,0,6,0,4,0,0,0,0,0,0,0,0,0
"氣胸",0,4,0,4,0,0,0,0,0,0,0,0,0,0,0
"消夜",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"烏賊",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"烏鴉",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"特區",0,4,0,3,0,0,0,0,0,0,3,0,0,0,0
"特寫",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"特質",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"祖父",0,4,0,3,0,0,0,0,0,0,0,0,0,0,0
"神人",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"秘書",0,4,0,0,0,0,3,0,0,0,0,0,0,0,0
"租金",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"缺口",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"羔羊",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"能耐",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"航空母艦",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"草包",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"財物",0,4,6,3,3,7,0,0,0,0,0,3,0,0,0
"財經",0,4,4,0,0,0,9,0,6,10,0,0,0,0,0
"迷路",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"退休金",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"配額",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"針孔",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"馬奶",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"骨灰",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"骨肉",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"高材生",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"偏見",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"偏差",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"副業",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"動畫",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"參政",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"商場",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"國王",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"國度",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"國務",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"基準",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"婊子",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"密碼",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"常理",0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"康熙",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"強盜",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"排行榜",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"救世主",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"桿子",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"淚水",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"球賽",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"甜頭",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"痕跡",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"眷屬",0,4,0,0,0,3,0,0,0,0,0,0,0,0,0
"眼球",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
